               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066003,            0.022331,            0.069083,             0.22262,               0.273,             0.19347,             0.11925,            0.033354,            0.010076,            0.061212,           0.0033297,           0.0033297,            0.070033
                   1,            0.047163,            0.014622,            0.049732,             0.63455,             0.58323,             0.59209,             0.31324,            0.037132,            0.009105,            0.029563,           0.0066571,           0.0066571,            0.040027
                   2,            0.049395,            0.013543,            0.027302,              0.5564,             0.64736,             0.59183,             0.28203,            0.038616,           0.0084487,            0.017205,           0.0099609,           0.0099609,           0.0099971
                   3,            0.045523,            0.013899,            0.020535,             0.74005,             0.70824,             0.71738,             0.38914,            0.034303,           0.0074852,            0.010707,           0.0099203,           0.0099203,           0.0099203
                   4,            0.041234,            0.013034,            0.016863,             0.74687,             0.73929,             0.75939,              0.4763,            0.029534,           0.0076688,           0.0091376,           0.0099203,           0.0099203,           0.0099203
                   5,            0.038071,            0.012602,            0.014354,             0.75869,             0.81776,             0.78619,             0.51654,            0.027376,           0.0066388,           0.0067119,           0.0098586,           0.0098586,           0.0098586
                   6,            0.036462,            0.011948,            0.011548,             0.72289,             0.84367,             0.78389,              0.4903,            0.027655,           0.0064773,           0.0059018,           0.0097798,           0.0097798,           0.0097798
                   7,             0.03485,            0.011476,            0.010786,              0.7392,             0.85896,             0.81482,             0.54515,             0.02566,           0.0063049,           0.0051473,            0.009684,            0.009684,            0.009684
                   8,            0.034098,            0.011226,            0.010255,             0.76201,             0.82237,             0.81053,             0.55525,             0.02487,           0.0061723,           0.0048377,           0.0095717,           0.0095717,           0.0095717
                   9,            0.032973,             0.01105,           0.0091126,             0.74632,              0.8647,             0.81638,             0.57378,            0.024581,           0.0061042,           0.0041189,           0.0094434,           0.0094434,           0.0094434
                  10,            0.032224,            0.010858,           0.0089368,             0.78276,             0.84563,              0.8342,             0.56843,             0.02435,           0.0058572,           0.0041911,           0.0092995,           0.0092995,           0.0092995
                  11,             0.03175,            0.010528,           0.0080548,             0.73118,              0.8658,             0.80821,             0.56242,            0.023937,           0.0061879,           0.0045769,           0.0091406,           0.0091406,           0.0091406
                  12,            0.030292,            0.010122,           0.0076338,             0.75211,             0.85955,              0.8233,             0.57534,            0.023514,           0.0058205,           0.0039816,           0.0089673,           0.0089673,           0.0089673
                  13,            0.029964,            0.010152,           0.0071491,             0.74507,             0.90015,             0.84761,             0.61579,            0.022438,           0.0057678,           0.0029096,           0.0087804,           0.0087804,           0.0087804
                  14,            0.029565,           0.0098206,           0.0068997,             0.75445,             0.88448,             0.83848,             0.60896,            0.021819,           0.0056368,           0.0032186,           0.0085805,           0.0085805,           0.0085805
                  15,             0.02903,            0.009876,             0.00633,             0.77056,             0.86699,             0.84666,             0.61944,            0.021298,           0.0059664,           0.0031758,           0.0083684,           0.0083684,           0.0083684
                  16,            0.028242,           0.0096165,           0.0061692,             0.73604,             0.89356,             0.82514,             0.61312,            0.021016,           0.0056935,           0.0028001,            0.008145,            0.008145,            0.008145
                  17,            0.028249,           0.0096611,           0.0059251,             0.78099,             0.88558,             0.84257,             0.61473,            0.020806,            0.005568,           0.0028835,           0.0079112,           0.0079112,           0.0079112
                  18,            0.027616,           0.0094045,           0.0056574,             0.77202,             0.88757,             0.83823,             0.61847,            0.020782,           0.0057771,           0.0033083,           0.0076679,           0.0076679,           0.0076679
                  19,            0.027317,           0.0091765,           0.0052941,             0.77371,              0.8833,             0.84435,             0.63407,            0.020354,           0.0055869,           0.0028903,            0.007416,            0.007416,            0.007416
                  20,            0.027031,           0.0090586,           0.0052939,             0.77067,             0.87381,             0.84557,             0.63328,            0.020309,           0.0057431,           0.0024294,           0.0071566,           0.0071566,           0.0071566
                  21,            0.026301,           0.0091135,           0.0050255,             0.77564,             0.88495,             0.85453,             0.64276,            0.019635,           0.0055643,           0.0024926,           0.0068906,           0.0068906,           0.0068906
                  22,            0.025948,           0.0089333,           0.0047338,             0.77626,             0.88123,              0.8435,             0.63738,            0.019815,           0.0055965,           0.0026459,           0.0066191,           0.0066191,           0.0066191
                  23,            0.025704,             0.00891,           0.0045966,             0.73853,             0.91467,             0.82418,             0.63007,            0.019398,           0.0055416,           0.0021229,           0.0063432,           0.0063432,           0.0063432
                  24,            0.025577,           0.0089482,           0.0045754,             0.75614,              0.9181,             0.84498,             0.64526,            0.019185,           0.0054441,           0.0021816,            0.006064,            0.006064,            0.006064
                  25,            0.024812,           0.0084558,           0.0038992,             0.77724,             0.87532,             0.84701,             0.64964,            0.019071,           0.0056166,            0.002076,           0.0057826,           0.0057826,           0.0057826
                  26,            0.024422,           0.0085245,           0.0039962,             0.77194,             0.90312,             0.85105,             0.66048,            0.018447,           0.0052361,            0.001984,              0.0055,              0.0055,              0.0055
                  27,            0.024254,           0.0084021,           0.0038298,             0.77522,             0.89781,             0.85745,             0.66188,            0.018605,           0.0052791,           0.0018782,           0.0052174,           0.0052174,           0.0052174
                  28,            0.023717,           0.0082026,           0.0033317,             0.78515,             0.89463,             0.85156,             0.66521,            0.018574,           0.0055875,           0.0017333,            0.004936,            0.004936,            0.004936
                  29,            0.023965,           0.0083927,           0.0035957,             0.76639,             0.92326,             0.85699,             0.66773,            0.018293,           0.0052363,            0.001815,           0.0046568,           0.0046568,           0.0046568
                  30,             0.02322,           0.0081477,           0.0033383,               0.775,             0.90554,             0.86003,             0.67398,            0.018037,           0.0054587,           0.0019749,           0.0043809,           0.0043809,           0.0043809
                  31,            0.022751,           0.0080112,           0.0032967,             0.76829,             0.90488,             0.84752,             0.66552,            0.017995,           0.0053585,              0.0022,           0.0041094,           0.0041094,           0.0041094
                  32,            0.022588,           0.0078939,           0.0031728,                0.78,             0.89877,             0.85716,             0.67026,            0.018035,           0.0053299,           0.0015421,           0.0038434,           0.0038434,           0.0038434
                  33,            0.022357,           0.0077174,           0.0029104,             0.76528,             0.91735,             0.85911,             0.67855,            0.017759,           0.0052357,           0.0015831,            0.003584,            0.003584,            0.003584
                  34,            0.021933,           0.0077625,           0.0028979,             0.77628,             0.88467,              0.8585,             0.68155,            0.017595,            0.005339,           0.0015679,           0.0033321,           0.0033321,           0.0033321
                  35,            0.021877,           0.0077541,            0.002589,             0.77268,             0.91297,             0.86485,             0.68609,            0.017522,           0.0052327,           0.0015675,           0.0030888,           0.0030888,           0.0030888
                  36,            0.021472,           0.0076022,           0.0024912,             0.76451,             0.91852,             0.86024,             0.68639,            0.017426,           0.0052885,           0.0013274,            0.002855,            0.002855,            0.002855
                  37,            0.021125,           0.0075486,           0.0023534,             0.78151,             0.90943,             0.86452,             0.68846,            0.017323,            0.005211,           0.0014231,           0.0026316,           0.0026316,           0.0026316
                  38,             0.02068,           0.0074123,           0.0022464,             0.77561,             0.92036,             0.86214,             0.68237,            0.017277,           0.0052725,           0.0012717,           0.0024195,           0.0024195,           0.0024195
                  39,            0.020765,            0.007286,           0.0022149,             0.79017,             0.90991,             0.87296,             0.69155,            0.017419,           0.0052405,           0.0012057,           0.0022196,           0.0022196,           0.0022196
                  40,            0.020181,           0.0072098,            0.002169,             0.79498,             0.91414,              0.8702,             0.69175,            0.017197,           0.0052544,           0.0012773,           0.0020327,           0.0020327,           0.0020327
                  41,            0.020283,           0.0072856,           0.0022963,             0.78599,              0.9029,             0.86473,             0.69196,            0.016967,           0.0053059,           0.0012473,           0.0018594,           0.0018594,           0.0018594
                  42,            0.020208,           0.0071512,           0.0021852,             0.79089,             0.89977,             0.86983,             0.69609,            0.016978,           0.0051494,           0.0011708,           0.0017005,           0.0017005,           0.0017005
                  43,            0.019969,           0.0070868,           0.0022772,             0.78024,             0.90997,             0.86714,             0.69672,            0.016834,           0.0052315,            0.001165,           0.0015566,           0.0015566,           0.0015566
                  44,            0.019565,           0.0069268,           0.0019776,             0.76879,             0.91443,             0.86499,             0.69589,            0.016873,           0.0053129,           0.0011671,           0.0014283,           0.0014283,           0.0014283
                  45,            0.019752,           0.0072143,            0.002101,             0.77309,             0.90935,              0.8624,             0.69268,            0.016752,           0.0052482,           0.0010811,            0.001316,            0.001316,            0.001316
                  46,            0.019519,           0.0070957,           0.0019342,             0.80234,             0.89121,             0.87521,             0.70619,            0.016767,           0.0052399,           0.0010052,           0.0012202,           0.0012202,           0.0012202
                  47,            0.019147,           0.0069092,           0.0019413,             0.79586,              0.9028,             0.87376,             0.70483,            0.016749,           0.0051688,           0.0010534,           0.0011414,           0.0011414,           0.0011414
                  48,            0.019277,           0.0069755,           0.0018758,             0.78983,             0.90693,             0.87589,             0.70646,            0.016668,           0.0051795,           0.0011191,           0.0010797,           0.0010797,           0.0010797
                  49,            0.019032,           0.0068805,            0.001754,             0.79153,             0.89259,             0.87201,             0.70277,            0.016684,           0.0052242,           0.0010416,           0.0010355,           0.0010355,           0.0010355
