               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068446,            0.024824,            0.069341,             0.22209,             0.30152,             0.18095,             0.10322,            0.036339,           0.0097064,            0.061724,           0.0033297,           0.0033297,            0.070033
                   1,            0.048936,            0.017962,            0.051798,             0.48995,             0.62929,             0.49861,             0.20926,            0.040986,           0.0071741,            0.030534,           0.0066607,           0.0066607,             0.04003
                   2,            0.050449,            0.016421,             0.02937,             0.63397,              0.6531,             0.64171,             0.33119,            0.037474,           0.0084134,            0.017061,           0.0099825,           0.0099825,            0.010019
                   3,            0.046654,            0.016992,            0.022688,             0.65099,             0.70738,             0.68455,             0.36783,             0.03525,           0.0068721,            0.011372,           0.0099688,           0.0099688,           0.0099688
                   4,            0.042696,            0.016041,            0.018222,             0.69653,             0.79883,             0.73126,             0.42856,            0.030646,           0.0065985,            0.007356,           0.0099688,           0.0099688,           0.0099688
                   5,            0.039863,            0.015505,             0.01539,             0.72399,             0.84293,             0.76339,             0.48451,            0.028167,           0.0063381,           0.0067967,           0.0099446,           0.0099446,           0.0099446
                   6,            0.038119,            0.014523,            0.013789,             0.72723,             0.81817,             0.79348,             0.52884,            0.027768,             0.00697,           0.0058081,           0.0099135,           0.0099135,           0.0099135
                   7,            0.036984,            0.014352,            0.012772,             0.76737,             0.84202,             0.80716,             0.52721,            0.026062,           0.0063813,           0.0048875,           0.0098757,           0.0098757,           0.0098757
                   8,            0.036087,            0.014361,            0.012491,             0.74871,             0.87696,             0.81797,             0.56359,            0.024733,           0.0060764,           0.0043367,            0.009831,            0.009831,            0.009831
                   9,            0.034912,            0.013906,            0.011232,             0.74201,             0.89531,             0.81117,             0.56303,            0.023851,           0.0061913,           0.0041236,           0.0097798,           0.0097798,           0.0097798
                  10,            0.034509,            0.013857,            0.011024,             0.74719,             0.88901,             0.82748,             0.58124,            0.023932,           0.0059931,           0.0034461,           0.0097219,           0.0097219,           0.0097219
                  11,            0.033991,            0.013746,            0.010389,             0.75824,             0.87676,             0.83476,             0.59193,            0.022732,           0.0061979,           0.0035229,           0.0096575,           0.0096575,           0.0096575
                  12,             0.03352,            0.013521,            0.010218,             0.77132,             0.86724,             0.83334,             0.59429,            0.022911,           0.0055367,           0.0037904,           0.0095866,           0.0095866,           0.0095866
                  13,            0.032139,            0.013099,           0.0093231,             0.75005,              0.9107,             0.83525,             0.60373,             0.02192,           0.0058802,           0.0030186,           0.0095095,           0.0095095,           0.0095095
                  14,            0.032379,            0.013025,           0.0094428,             0.74515,             0.89782,             0.83024,             0.59403,            0.022211,           0.0057949,           0.0031727,           0.0094262,           0.0094262,           0.0094262
                  15,            0.032161,            0.013236,           0.0096129,             0.73037,             0.91648,             0.82576,             0.59889,            0.021653,           0.0059678,              0.0029,           0.0093369,           0.0093369,           0.0093369
                  16,            0.031509,            0.012677,           0.0084454,             0.76833,             0.90361,              0.8456,             0.62879,            0.020793,            0.005595,           0.0027849,           0.0092416,           0.0092416,           0.0092416
                  17,            0.031206,            0.012781,           0.0087145,             0.76173,             0.88104,             0.83781,             0.62211,            0.020929,           0.0059823,           0.0027077,           0.0091406,           0.0091406,           0.0091406
                  18,            0.030841,            0.012383,           0.0077996,             0.76067,             0.91065,             0.84426,             0.62327,            0.021049,           0.0055338,           0.0025501,           0.0090339,           0.0090339,           0.0090339
                  19,            0.030427,            0.012279,           0.0076381,             0.76909,             0.87583,             0.84087,             0.63492,            0.020685,           0.0057258,           0.0026714,           0.0089218,           0.0089218,           0.0089218
                  20,             0.03012,            0.012432,           0.0078209,             0.75297,             0.90819,             0.84045,             0.62977,            0.020338,           0.0056363,           0.0022094,           0.0088045,           0.0088045,           0.0088045
                  21,            0.029881,            0.012307,            0.007769,              0.7459,             0.92905,             0.83383,              0.6236,            0.020036,           0.0054894,           0.0024779,            0.008682,            0.008682,            0.008682
                  22,            0.029776,             0.01244,           0.0072626,             0.76019,             0.89598,              0.8486,             0.64215,             0.02005,           0.0057105,           0.0023829,           0.0085546,           0.0085546,           0.0085546
                  23,            0.029372,            0.012089,           0.0072137,             0.77376,             0.88323,             0.83403,             0.63529,            0.019636,           0.0054548,           0.0021855,           0.0084225,           0.0084225,           0.0084225
                  24,            0.029158,            0.012121,           0.0069201,             0.77719,             0.87999,             0.84613,              0.6478,            0.019625,           0.0055884,           0.0020853,           0.0082859,           0.0082859,           0.0082859
                  25,            0.028732,            0.011822,           0.0069403,             0.76833,             0.90805,             0.84237,             0.64133,            0.019665,           0.0055819,           0.0020916,            0.008145,            0.008145,            0.008145
                  26,             0.02873,            0.012012,           0.0069376,             0.74585,             0.91783,             0.83709,             0.64366,            0.019154,           0.0053686,           0.0020362,           0.0080001,           0.0080001,           0.0080001
                  27,            0.028295,            0.011785,            0.006613,              0.7795,             0.90009,             0.85151,             0.65929,            0.018978,           0.0054348,           0.0021383,           0.0078512,           0.0078512,           0.0078512
