               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054827,           0.0083797,            0.025376,           0.0059654,            0.028316,           0.0048451,           0.0016007,            0.031454,           0.0049292,            0.024028,           0.0015983,           0.0015983,            0.026625
                   1,            0.028886,           0.0072786,            0.023648,            0.039934,              0.2073,            0.061797,            0.039474,            0.018791,            0.003533,            0.023107,           0.0031972,           0.0031972,           0.0032243
                   2,            0.021724,           0.0061913,            0.023011,             0.11584,             0.26288,             0.14636,              0.1056,            0.014301,           0.0027493,            0.022397,           0.0031957,           0.0031957,           0.0031957
                   3,            0.019774,           0.0052521,            0.022333,             0.27438,             0.24357,             0.21976,             0.15413,            0.013957,           0.0022181,            0.021316,           0.0031957,           0.0031957,           0.0031957
                   4,            0.019078,           0.0045147,            0.021292,             0.44417,             0.30091,             0.29884,             0.20633,            0.012926,           0.0020169,             0.01982,           0.0031902,           0.0031902,           0.0031902
                   5,            0.018704,           0.0041886,            0.020017,             0.54337,             0.37756,             0.36691,             0.25918,            0.012932,           0.0018711,            0.018053,           0.0031827,           0.0031827,           0.0031827
                   6,            0.018738,           0.0038764,            0.018504,             0.75963,             0.42878,             0.47053,             0.33087,            0.012969,           0.0017516,            0.016086,           0.0031729,           0.0031729,           0.0031729
                   7,            0.018791,            0.003724,            0.016816,             0.74722,             0.51243,              0.5175,              0.3674,            0.012801,           0.0016762,            0.014147,           0.0031611,           0.0031611,           0.0031611
                   8,              0.0189,           0.0036759,            0.015197,             0.80974,             0.54648,             0.60085,             0.42023,            0.013285,            0.001577,            0.011934,           0.0031471,           0.0031471,           0.0031471
                   9,            0.018963,           0.0035283,            0.013098,             0.75133,             0.66515,             0.67964,             0.44194,            0.014423,           0.0015386,           0.0096421,           0.0031311,           0.0031311,           0.0031311
                  10,            0.019097,           0.0034645,            0.011575,             0.68662,             0.74065,             0.73054,             0.52512,            0.012689,           0.0014688,           0.0079328,            0.003113,            0.003113,            0.003113
                  11,            0.019163,           0.0033712,           0.0099971,              0.6961,             0.77924,             0.74343,             0.52588,              0.0131,           0.0014493,           0.0064942,           0.0030928,           0.0030928,           0.0030928
                  12,               0.019,           0.0032758,           0.0088226,             0.69972,             0.80435,             0.76134,             0.54874,            0.012892,           0.0013933,           0.0056031,           0.0030707,           0.0030707,           0.0030707
