               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063524,            0.023484,            0.062057,             0.62036,             0.55411,             0.55185,             0.27643,            0.035314,           0.0076151,            0.038531,           0.0033279,           0.0033279,            0.070049
                   1,            0.050208,            0.014431,            0.026741,             0.67301,             0.72687,             0.69891,             0.38602,            0.037526,           0.0061848,            0.012057,           0.0066553,           0.0066553,            0.040043
                   2,            0.047097,            0.014023,             0.01663,             0.66028,             0.71526,             0.68757,             0.40187,            0.034575,           0.0067727,           0.0098293,           0.0099591,           0.0099591,            0.010013
                   3,             0.04215,            0.015031,            0.017034,             0.67174,             0.84146,             0.78953,             0.50082,            0.030312,           0.0060844,           0.0078581,           0.0099203,           0.0099203,           0.0099203
                   4,            0.038493,            0.014453,            0.014096,             0.77129,             0.83055,             0.81073,             0.53065,            0.026275,           0.0063688,           0.0050649,           0.0099203,           0.0099203,           0.0099203
                   5,            0.035836,            0.013534,            0.011297,             0.74354,              0.8889,              0.8364,             0.55879,            0.026077,           0.0057213,           0.0043381,           0.0098586,           0.0098586,           0.0098586
                   6,            0.034439,            0.013133,            0.010615,             0.75566,             0.86235,             0.82609,             0.57064,            0.024277,           0.0055893,           0.0039515,           0.0097798,           0.0097798,           0.0097798
                   7,            0.032834,             0.01255,           0.0095006,             0.76265,             0.89856,             0.83571,             0.58037,            0.023597,           0.0058297,           0.0034507,            0.009684,            0.009684,            0.009684
                   8,            0.031955,            0.012313,           0.0087217,              0.7701,             0.88749,             0.84955,             0.60246,            0.022561,           0.0055432,           0.0032959,           0.0095717,           0.0095717,           0.0095717
                   9,            0.031091,            0.011937,            0.008225,             0.77728,             0.88506,             0.85214,             0.62024,            0.022122,           0.0055572,           0.0031223,           0.0094434,           0.0094434,           0.0094434
                  10,            0.029867,            0.011533,           0.0074671,              0.7875,             0.89038,             0.84252,              0.6277,            0.020712,            0.005284,           0.0030828,           0.0092995,           0.0092995,           0.0092995
                  11,            0.029375,            0.011362,           0.0072832,             0.74544,             0.91111,             0.84755,             0.63117,            0.021119,           0.0056347,           0.0025857,           0.0091406,           0.0091406,           0.0091406
                  12,            0.028892,            0.011543,           0.0065345,             0.72855,              0.9162,             0.83421,             0.62998,            0.020423,            0.005428,           0.0028884,           0.0089673,           0.0089673,           0.0089673
                  13,            0.028308,            0.010916,           0.0065002,             0.79121,             0.89715,             0.85617,             0.64407,            0.020081,           0.0054097,           0.0025603,           0.0087804,           0.0087804,           0.0087804
                  14,            0.027859,            0.010973,           0.0066124,             0.75632,              0.8814,             0.82207,             0.61632,            0.020054,            0.005622,           0.0021468,           0.0085805,           0.0085805,           0.0085805
                  15,            0.027376,             0.01093,           0.0061859,             0.80131,             0.89246,             0.86613,             0.66208,            0.018875,           0.0053043,           0.0022539,           0.0083684,           0.0083684,           0.0083684
                  16,            0.026798,            0.010621,           0.0055923,             0.79925,             0.87394,             0.85961,             0.65402,            0.019258,           0.0053308,           0.0021503,            0.008145,            0.008145,            0.008145
                  17,            0.026546,            0.010406,           0.0054748,             0.79732,             0.90306,             0.87887,             0.67876,            0.018733,           0.0051523,           0.0022467,           0.0079112,           0.0079112,           0.0079112
                  18,            0.026027,            0.010343,           0.0054033,             0.79954,             0.88036,             0.86687,             0.68202,            0.018046,           0.0051624,           0.0019787,           0.0076679,           0.0076679,           0.0076679
                  19,            0.025506,            0.010166,             0.00481,             0.77993,             0.90696,             0.87362,             0.67834,            0.018296,           0.0050606,           0.0018338,            0.007416,            0.007416,            0.007416
                  20,            0.025044,           0.0099278,           0.0047835,             0.77281,             0.90511,             0.86269,             0.68037,            0.018132,           0.0050838,           0.0018322,           0.0071566,           0.0071566,           0.0071566
                  21,             0.02461,           0.0097988,            0.004614,             0.78563,             0.90265,             0.85898,             0.67003,            0.018007,            0.005001,           0.0016277,           0.0068906,           0.0068906,           0.0068906
                  22,            0.024503,           0.0098607,           0.0048046,             0.80724,             0.88374,             0.87428,             0.69064,            0.017995,           0.0050886,           0.0017301,           0.0066191,           0.0066191,           0.0066191
                  23,            0.024218,           0.0097844,           0.0047758,             0.80306,             0.88093,             0.87277,             0.68215,            0.017796,           0.0053515,           0.0016522,           0.0063432,           0.0063432,           0.0063432
                  24,            0.023608,           0.0097011,           0.0041908,             0.76409,             0.89451,             0.87005,             0.69586,            0.017286,           0.0050601,           0.0014473,            0.006064,            0.006064,            0.006064
                  25,            0.023376,           0.0093153,            0.004201,             0.81432,             0.87993,             0.88491,             0.70426,            0.017443,           0.0052097,           0.0016597,           0.0057826,           0.0057826,           0.0057826
                  26,            0.023182,           0.0093639,           0.0038608,             0.77104,             0.89936,             0.86072,             0.68716,            0.017073,           0.0051165,           0.0013101,              0.0055,              0.0055,              0.0055
                  27,            0.022929,            0.009553,             0.00407,             0.80376,             0.89054,             0.87609,             0.70337,            0.016783,           0.0051467,           0.0014768,           0.0052174,           0.0052174,           0.0052174
                  28,            0.022472,           0.0093798,           0.0038272,             0.80257,             0.91022,             0.86901,             0.70023,            0.016829,           0.0049322,           0.0013363,            0.004936,            0.004936,            0.004936
                  29,            0.022269,           0.0090859,           0.0037095,             0.76808,             0.92608,             0.85852,             0.68837,            0.016916,            0.005053,           0.0011044,           0.0046568,           0.0046568,           0.0046568
                  30,            0.021854,           0.0089774,           0.0037724,             0.81301,             0.89095,             0.87562,             0.70383,            0.016744,           0.0049922,           0.0015563,           0.0043809,           0.0043809,           0.0043809
                  31,             0.02152,           0.0088084,           0.0032854,             0.79713,             0.88346,              0.8698,             0.70043,             0.01667,           0.0050542,           0.0011112,           0.0041094,           0.0041094,           0.0041094
                  32,            0.021131,           0.0088067,           0.0035105,             0.78927,             0.89782,             0.87094,             0.70113,            0.016567,           0.0051228,           0.0011266,           0.0038434,           0.0038434,           0.0038434
                  33,            0.021026,           0.0086273,            0.003118,             0.80104,             0.90772,             0.88156,             0.71441,            0.016545,           0.0049094,            0.001011,            0.003584,            0.003584,            0.003584
                  34,            0.020349,           0.0084716,           0.0030815,             0.79863,             0.89954,             0.87427,             0.70531,            0.016395,             0.00502,          0.00094923,           0.0033321,           0.0033321,           0.0033321
                  35,            0.020406,           0.0084608,           0.0030197,             0.79843,             0.90211,             0.86959,             0.70641,            0.016256,           0.0049788,          0.00082761,           0.0030888,           0.0030888,           0.0030888
                  36,            0.019929,           0.0082934,           0.0028534,             0.78861,             0.90948,             0.87406,             0.70744,            0.016301,           0.0049902,            0.001004,            0.002855,            0.002855,            0.002855
                  37,            0.019747,           0.0083547,           0.0027789,             0.82098,             0.89949,             0.89005,             0.72055,             0.01616,           0.0049466,          0.00078524,           0.0026316,           0.0026316,           0.0026316
                  38,             0.01952,           0.0082124,           0.0027643,             0.81976,             0.87522,             0.88088,             0.71662,            0.016142,           0.0049517,           0.0007654,           0.0024195,           0.0024195,           0.0024195
                  39,            0.019359,           0.0080083,           0.0026905,             0.82721,             0.88822,              0.8808,             0.71727,             0.01593,           0.0049568,          0.00072058,           0.0022196,           0.0022196,           0.0022196
                  40,            0.019065,           0.0079567,           0.0025688,             0.80694,             0.89083,             0.87283,             0.70897,            0.016095,           0.0050358,          0.00076277,           0.0020327,           0.0020327,           0.0020327
                  41,             0.01878,           0.0078019,             0.00261,             0.81219,             0.89395,             0.87816,             0.71454,            0.016013,           0.0049602,          0.00069107,           0.0018594,           0.0018594,           0.0018594
                  42,            0.018539,           0.0079603,           0.0025428,             0.82493,             0.88118,             0.87584,             0.71439,            0.015866,           0.0050265,          0.00073551,           0.0017005,           0.0017005,           0.0017005
                  43,            0.018458,           0.0077563,           0.0025119,             0.81103,             0.90153,             0.88148,             0.71981,            0.015935,           0.0049496,          0.00064855,           0.0015566,           0.0015566,           0.0015566
