               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049314,            0.014698,            0.036903,              0.5837,             0.60096,             0.59122,             0.35547,            0.026789,           0.0058992,            0.014308,           0.0033316,           0.0033316,            0.070016
                   1,            0.036155,           0.0098481,            0.013258,             0.73967,             0.69441,             0.71751,             0.46062,            0.025733,           0.0055428,           0.0067222,            0.006628,            0.006628,            0.039979
                   2,            0.035139,            0.010516,            0.012358,             0.74914,             0.60631,             0.62445,             0.40043,            0.027704,            0.006483,            0.009876,            0.009778,            0.009778,           0.0097958
                   3,            0.032639,            0.010666,            0.011373,             0.75028,             0.71485,              0.7229,             0.48397,            0.023711,           0.0055476,            0.004951,           0.0095095,           0.0095095,           0.0095095
                   4,            0.029165,           0.0097688,           0.0087366,             0.78834,             0.75366,             0.76943,             0.54527,            0.021233,           0.0050669,           0.0037115,           0.0095095,           0.0095095,           0.0095095
                   5,            0.027297,            0.009353,           0.0077716,             0.79585,             0.75695,             0.77621,             0.56518,            0.020326,           0.0049172,           0.0036315,           0.0091406,           0.0091406,           0.0091406
                   6,            0.025716,           0.0090227,           0.0068283,             0.82054,             0.77333,             0.80694,             0.60361,            0.019028,           0.0045949,            0.003037,            0.008682,            0.008682,            0.008682
                   7,            0.024614,           0.0087925,           0.0062828,             0.81756,             0.76756,             0.81301,             0.61275,            0.018767,           0.0044838,           0.0027614,            0.008145,            0.008145,            0.008145
                   8,            0.023778,           0.0085197,           0.0058181,             0.84177,             0.77194,             0.82187,               0.624,            0.017829,            0.004389,            0.002386,            0.007543,            0.007543,            0.007543
                   9,             0.02298,           0.0082805,           0.0052867,              0.8291,             0.81959,             0.83605,             0.64676,            0.017527,           0.0043119,           0.0022013,           0.0068906,           0.0068906,           0.0068906
                  10,            0.022168,           0.0081211,           0.0049423,             0.84065,             0.80991,             0.84509,             0.65591,            0.017124,           0.0041873,           0.0020802,            0.006204,            0.006204,            0.006204
                  11,            0.021427,           0.0079628,           0.0046427,             0.76231,             0.82898,             0.84581,             0.66397,            0.016805,           0.0041428,           0.0019834,              0.0055,              0.0055,              0.0055
                  12,            0.020687,           0.0077941,           0.0042775,             0.79146,             0.83304,             0.84971,             0.67015,            0.016458,           0.0040788,            0.001875,            0.004796,            0.004796,            0.004796
                  13,            0.019857,           0.0076196,           0.0040384,             0.76717,             0.85212,             0.85712,             0.67672,            0.016252,           0.0039883,           0.0017892,           0.0041094,           0.0041094,           0.0041094
                  14,            0.019251,            0.007483,           0.0036827,             0.78463,             0.85626,             0.85896,             0.68467,            0.015884,           0.0039482,           0.0016578,            0.003457,            0.003457,            0.003457
                  15,            0.018678,           0.0072851,           0.0034972,             0.77424,             0.86277,              0.8638,             0.68908,            0.015813,           0.0039219,           0.0016054,            0.002855,            0.002855,            0.002855
                  16,            0.018136,           0.0071155,           0.0032387,             0.79284,             0.85975,             0.86626,             0.69469,            0.015598,           0.0039026,           0.0014203,            0.002318,            0.002318,            0.002318
                  17,            0.017578,           0.0068893,           0.0029672,              0.7874,              0.8758,             0.87082,             0.69899,            0.015572,           0.0038479,            0.001356,           0.0018594,           0.0018594,           0.0018594
                  18,            0.017201,             0.00688,           0.0027526,             0.79004,             0.87607,              0.8706,             0.70002,            0.015568,           0.0038404,            0.001371,           0.0014905,           0.0014905,           0.0014905
                  19,            0.016909,           0.0067366,           0.0026955,             0.80727,             0.85954,             0.87032,             0.70246,            0.015432,           0.0038178,           0.0013626,           0.0012202,           0.0012202,           0.0012202
